pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracBkgdKeys.rt,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseBkgdKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,contBkgdKeys.rt,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,bkgdKeys4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
,None,None,None,None,None,None,None,None,None,None,parole,hamlet,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/shroud_touch_edited.mp4,jackal,shroud,None,,,,,,,,,,,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, parole,"['p', 'a', 'r', 'o', 'l', 'e', 'return']","[0.43548849993385375, 0.5478503000922501, 0.6035734000615776, 0.7081204000860453, 0.8756967999506742, 0.9553908000234514, 1.0997834000736475]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,quarry,septic,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/innate_touch_edited.mp4,neural,innate,None,,,,,,,,,,,0,8,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, quarry,"['q', 'u', 'a', 'r', 'r', 'y', 'return']","[0.30799930007196963, 0.41198479989543557, 0.5721624998841435, 0.6600579000078142, 0.8040998999495059, 1.1240797999780625, 1.4839896999765188]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,coerce,clergy,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/portal_TT_3X.mp4,ritual,portal,None,,,,,,,,,,,0,9,9,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, coerce,"['c', 'o', 'e', 'r', 'c', 'e', 'return']","[0.27107020001858473, 0.3671639000531286, 0.5193904000334442, 0.5831614001654088, 0.8389550000429153, 0.9268372000660747, 1.0710062000434846]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,pursue,caviar,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/shrill_TT_3X.mp4,piston,shrill,None,,,,,,,,,,,0,10,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, pursue,"['p', 'u', 'r', 's', 'u', 'e', 'return']","[0.35559680010192096, 0.6115663999225944, 0.7235133999492973, 0.9555828000884503, 1.1314918000716716, 1.2675634999759495, 1.4035680999513716]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,convoy,output,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/uphold_TT_3X.mp4,debtor,uphold,None,,,,,,,,,,,0,11,11,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, convoy,"['c', 'o', 'n', 'v', 'o', 'y', 'return']","[0.26622210000641644, 0.3621139999013394, 0.6268390999175608, 0.8500419999472797, 0.9781124000437558, 1.2422151998616755, 1.3940021998714656]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,upkeep,parish,6.5,7.5,video&audio/sentence5_TT_3X.mp4,video&audio/gullet_TT_3X.mp4,picket,gullet,None,,,,,,,,,,,0,12,12,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['u'], upkeep,"['u', 'p', 'k', 'e', 'e', 'return']","[0.286738800117746, 0.5504405000247061, 0.910660499939695, 1.0546351000666618, 1.198540800018236, 1.5265824000816792]",[2.3309560001362115],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,strife,delude,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/galley_touch_edited.mp4,tariff,galley,None,,,,,,,,,,,0,13,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, strife,"['s', 't', 'r', 'i', 'f', 'e', 'return']","[0.32071750005707145, 0.488090300001204, 0.5518364000599831, 0.719840400153771, 0.8721698999870569, 0.936200900003314, 1.0560340001247823]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,savant,induce,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/mussel_TT_3X.mp4,cortex,mussel,None,,,,,,,,,,,0,14,14,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, savant,"['s', 'a', 'v', 'a', 'n', 't', 'return']","[0.3283716000150889, 0.37630110001191497, 0.6646229999605566, 0.7365672998130322, 0.8642895999364555, 1.0005404998082668, 1.1684469999745488]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,satire,mangle,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/warble_TT_3X.mp4,devise,warble,None,,,,,,,,,,,0,15,15,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, satire,"['s', 'a', 't', 'i', 'r', 'e', 'return']","[0.28644079994410276, 0.37425430002622306, 0.6864287999924272, 0.7586141999345273, 0.9103266999591142, 0.9744384998921305, 1.1103618000634015]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,sonnet,hearth,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/herbal_touch_edited.mp4,hippie,herbal,None,,,,,,,,,,,0,16,16,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, sonnet,"['s', 'o', 'n', 'n', 'e', 't', 'return']","[0.27308530011214316, 0.35353490011766553, 0.5930149001069367, 0.7209513001143932, 0.8331252001225948, 0.9129876000806689, 1.049050300149247]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,legion,campus,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/allure_TT_3X.mp4,forage,allure,None,,,,,,,,,,,0,17,17,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, legion,"['l', 'e', 'g', 'i', 'o', 'n', 'return']","[0.2728959999512881, 0.36091029993258417, 0.44070470007136464, 0.5448632000479847, 0.7209723999258131, 0.9528999000322074, 1.2327904000412673]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,musket,meddle,6.5,7.5,video&audio/sentence2_TT_3X.mp4,video&audio/divert_TT_3X.mp4,kipper,divert,None,,,,,,,,,,,0,18,18,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, musket,"['m', 's', 'u', 'backspace', 'backspace', 'u', 's', 'k', 'e', 't', 'return']","[0.11130150011740625, 0.31906830007210374, 0.3909522001631558, 0.6629639000166208, 0.7749779000878334, 0.9912511000875384, 1.1033736001700163, 1.215351400198415, 1.3430549001786858, 1.4232087000273168, 1.4870911000762135]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,"While you watch the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.","While watching the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_imagine.png,1.6,1,butter,6.5,7.5,video&audio/amount_TT_3X.mp4,video&audio/butter_TT_3X.mp4,plight,metric,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/eatery_touch_edited.mp4,ascend,eatery,2 = AOMIspec,,,,,,,,,,,0,19,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, plight,"['p', 'l', 'i', 'g', 'h', 't', 'return']","[0.2879387999419123, 0.48797530005685985, 0.687944500008598, 0.7521448000334203, 0.8561519999057055, 0.9680105000734329, 1.1123502000700682]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,"This is Section 2.

In this section, your task will be the same as before - that is, to type the word you see on the screen AFTER the typing prompt. However, rather than just seeing the word before typing, you will also see a video of someone typing different words to what you will need to type at different speeds. 

Press 'enter/return' to go to the next page.","This is Section 4. 

In this section, your task will be the same as before - that is, to type the word you see on the screen after the typing prompt. You will see a video again, like in Section 2, only this time, the video will show someone the same word that you must type at different speeds. 

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_layout.png,1.6,0.6,afford,19.5,20.5,video&audio/amount_touch_edited.mp4,video&audio/afford_touch_edited.mp4,vanity,hinder,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/breach_touch_edited.mp4,matrix,breach,1 = AOMIgen,,,,,,,,,,,0,20,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, vanity,"['v', 'a', 'n', 'i', 't', 'y', 'return']","[0.3136597000993788, 0.37766420003026724, 0.489623999921605, 0.6817761000711471, 0.8257280001416802, 0.9140792000107467, 1.0577265000902116]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,impose,feudal,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/matron_TT_3X.mp4,subdue,matron,None,,,,,,,,,,,0,21,21,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, impose,"['i', 'm', 'p', 'o', 's', 'e', 'return']","[0.26012629992328584, 0.468103300081566, 0.6522244999650866, 0.8046051000710577, 0.8922423999756575, 0.9563271999359131, 1.0923349999357015]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,ordain,patent,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/defame_touch_edited.mp4,covert,defame,None,,,,,,,,,,,0,22,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, ordain,"['o', 'r', 'd', 'a', 'i', 'n', 'return']","[0.30545679992064834, 0.3693637999240309, 0.5692755000200123, 0.6657730001024902, 0.7453237001318485, 0.9212178001180291, 1.1135923000983894]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,sherry,zephyr,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/fusion_touch_edited.mp4,obsess,fusion,None,,,,,,,,,,,0,23,23,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, sherry,"['s', 'h', 'e', 'r', 'r', 'y', 'return']","[0.22633929993025959, 0.3143774999771267, 0.42654989985749125, 0.4981237000320107, 0.6421954999677837, 1.2179592999164015, 1.5541677000001073]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,goblet,befall,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/ration_touch_edited.mp4,solemn,ration,None,,,,,,,,,,,0,24,24,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, goblet,"['g', 'o', 'b', 'l', 'e', 't', 'return']","[0.29266889998689294, 0.39673150004819036, 0.5169464000500739, 0.604653500020504, 0.7808592000510544, 0.8529748001601547, 0.9329814000520855]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,potent,tandem,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/origin_TT_3X.mp4,falter,origin,None,,,,,,,,,,,0,25,25,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, potent,"['p', 'o', 't', 'e', 'n', 't', 'return']","[0.28090759995393455, 0.44865489983931184, 0.5608895998448133, 0.6330114000011235, 0.7206476000137627, 0.8246706000063568, 0.9770263999234885]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
,None,None,None,None,None,None,None,None,None,None,manure,girdle,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/linear_TT_3X.mp4,belfry,linear,None,,,,,,,,,,,0,26,26,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None, manure,"['m', 'a', 'n', 'u', 'r', 'e', 'return']","[0.14505810011178255, 0.2815254998859018, 0.36924559995532036, 0.5532345999963582, 0.6331410000566393, 0.7131378999911249, 0.9696774000767618]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,D,2023_Feb_22_1045,student_TT_local,2021.1.4,47.98911223669757,
